title,Year,imdb_rating
Celebrity Habla 2,2010,9.1
The Dark Knight,2008,9.0
The Serenade,2019,9.0
Pulp Fiction,1994,8.9
The Lord of the Rings: The Return of the King,2003,8.9
Wonder,2019,8.9
Fandango at the Wall,2020,8.8
Inception,2010,8.8
Too Beautiful: Our Right to Fight,2016,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Return to the Moon,2019,8.8
The Lord of the Rings: The Two Towers,2002,8.7
One Flew Over the Cuckoo's Nest,1975,8.7
The Astronaut,2018,8.7
The Matrix,1999,8.7
Se7en,1995,8.6
Legendary Nights: The Tale of Gatti-Ward,2013,8.6
The Music in Me: The Leopards Take Manhattan - The Little Band That Roared,2008,8.6
Spirited Away,2003,8.6
The Green Mile,1999,8.6
We Stand Alone Together,2001,8.6
Evelyn x Evelyn,2019,8.6
City of God,2002,8.6
Pather Panchali,1955,8.6
Seven Samurai,1954,8.6
Cinema Paradiso,1988,8.5
City Lights,1931,8.5
The Departed,2006,8.5
Zack Snyder's Justice League,2021,8.5
Beah: A Black Woman Speaks,2003,8.5
Celebrity Habla,2009,8.5
Modern Times,1936,8.5
Every Brilliant Thing,2016,8.5
Casablanca,1943,8.5
Scenes from a Marriage,1974,8.4
Foreign Wars,2016,8.4
The Shining,1980,8.4
Joker,2019,8.4
The Great Dictator,1940,8.4
"Batman: The Dark Knight Returns, Part 2",2013,8.4
Alien,1979,8.4
Princess Mononoke,1997,8.4
Flight,2019,8.4
Loser Leaves Town,2018,8.4
American Utopia,2020,8.3
A Clockwork Orange,1971,8.3
Magic & Bird: A Courtship of Rivals,2010,8.3
The Times of Harvey Milk,1984,8.3
Temple Grandin,2010,8.3
Aliens,1986,8.3
Reservoir Dogs,1992,8.3
North by Northwest,1959,8.3
Late Spring,1949,8.3
American Beauty,1999,8.3
Ikiru,1952,8.3
The Cranes Are Flying,1957,8.3
"War and Peace, Part III: The Year 1812",1967,8.3
2001: A Space Odyssey,1968,8.3
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007,8.3
Bicycle Thieves,1948,8.3
Ugetsu,1953,8.3
M,1931,8.3
The Kid,1921,8.3
Wild Strawberries,1957,8.2
Life According to Sam,2013,8.2
A Woman Under the Influence,1974,8.2
The Red Balloon,1956,8.2
To Be or Not to Be,1942,8.2
Rashomon,1950,8.2
