title,Year,imdb_rating
Ostatni ludzie Czarnobyla 2,2019,9.8
Ruby's Studio: the Feelings Show,2010,9.8
Ostatni ludzie Czarnobyla,2018,9.8
Pain Warriors,2019,9.4
Confirmation 101,2019,9.4
Sol Roth's the Audition,2020,9.3
Bounty,2013,9.3
Steven Banks: Home Entertainment Center,1989,9.2
"Curiosity, Adventure and Love",2016,9.2
Here! With Pride,2005,9.2
Escape from Firebase Kate,2015,9.2
Leonard Cohen: Leonard Cohen's Lonesome Heroes,2010,9.2
Ring of Water,2012,9.2
7 Days in Syria,2015,9.0
Koi,2019,9.0
Healing Voices,2016,9.0
Weaving the Past: Journey of Discovery,2014,9.0
Memories 677,2011,9.0
They Come to America IV: Immigration & Politics,2020,9.0
Operation Toussaint: Operation Underground Railroad and the Fight to End Modern Day Slavery,2018,9.0
An Irish Story: This Is My Home,2020,8.9
The Siege of Malta,2014,8.9
The Creators,2012,8.9
Alumbrones,2014,8.9
Israel's Arab Warriors,2016,8.9
Pop Meets the Void,2015,8.8
Mekonen: The Journey of an African Jew,2016,8.8
Madagasikara,2018,8.8
The Gates of Jerusalem: A History of the Holy City,1998,8.8
"The Good, the Bad and the Ugly",1966,8.8
Where's Daddy?,2017,8.8
The Mountain II,2016,8.8
Father Michael McGivney,2014,8.8
Uncle Tom,2020,8.8
Into The Fire,2006,8.8
David Gilmour: Live at Pompeii,2017,8.8
Land of Confusion,2008,8.8
Black Jack Pershing: Love and War,2017,8.8
David Gilmour: Meltdown Concert,2002,8.8
The Real Fauda,2018,8.8
Elvis: The Memphis Flash,2005,8.7
Childhood 2.0,2020,8.7
C. H. Spurgeon: The People's Preacher,2009,8.7
George Carlin: Jammin' in New York,1992,8.7
Draw Hard,2015,8.7
The Dalai Lama: Scientist,2019,8.7
George Carlin: Back in Town,1996,8.7
RWBY: Volume 3,2016,8.7
Machine Gun Preacher Documentary,2014,8.7
The 25th Anniversary Rock and Roll Hall of Fame Concerts,2009,8.7
Cape Spin: An American Power Struggle,2011,8.7
The Deadfall,2012,8.7
Anbe Sivam,2003,8.7
Tails of Iceland,2019,8.7
Sixth Man: Bluesanity,2013,8.6
El Ejecutor,2010,8.6
The Queen's Man,2019,8.6
George Carlin: It's Bad for Ya!,2008,8.6
Stop Making Sense,1984,8.6
C.S. Lewis Onstage: The Most Reluctant Convert,2018,8.6
The Rise and Fall of Miss Thang,2008,8.6
6Teen: Dude of the Living Dead,2005,8.6
"Love Always, Mom",2019,8.6
SS United States: Lady in Waiting,2008,8.6
Thillu Mullu,1981,8.6
When a City Falls,2011,8.6
Wheels,2014,8.6
The Legend of Pancho Barnes and the Happy Bottom Riding Club,2009,8.6
The Love Part of This,2015,8.6
The Medicine Game,2014,8.6
Within Reach,2013,8.6
Baraka,1992,8.6
Zakir Khan : Haq Se Single,2017,8.6
Clutch: Full Fathom Five,2008,8.6
It's a Wonderful Life,1946,8.6
Flakes & Flames,2013,8.6
George Carlin: You Are All Diseased,1999,8.6
Home,2009,8.6
Along Recovery,2012,8.6
The Boy Whose Skin Fell Off,2004,8.6
Angle of Attack,2011,8.6
Father of a Soldier,1964,8.6
Devo: Hardcore Live!,2015,8.6
Gol Maal,1979,8.6
Steve Trevino: 'Til Death,2019,8.5
Dear Zachary: A Letter to a Son About His Father,2008,8.5
Pete Correale: Let Me Tell Ya,2015,8.5
Samsara,2011,8.5
Totally Bill Hicks,1994,8.5
Open Tables,2015,8.5
The Good Soldier,2009,8.5
Pyaasa,1957,8.5
The Days of Noah Part 1: The Flood,2019,8.5
Strange Negotiations,2019,8.5
"Michael Jordan, Above and Beyond",1996,8.5
Coldplay: Live 2003,2003,8.5
Lucy and Desi: A Home Movie,1993,8.5
The Prestige,2006,8.5
Bey Yaar,2014,8.5
I'll Never Forget My High School Friends,2020,8.5
Trichster,2015,8.5
Part Time Fabulous,2011,8.5
Sleeping Giant: An Indian Football Story,2013,8.5
Senna,2010,8.5
Gladiator,2000,8.5
Back to the Future,1985,8.5
Dick Winters: Hang Tough,2012,8.5
Once Upon a Time in the West,1968,8.5
George Carlin: George's Best Stuff,1996,8.5
George Carlin: Complaints & Grievances,2001,8.5
Blood Relative,2012,8.5
Generation Found,2016,8.5
Untamed Romania,2018,8.5
Michael Bolton - Live At The Royal Albert Hall,2010,8.5
Mahanati,2018,8.5
Aruvi,2017,8.5
Man in Camo,2018,8.5
Vada Chennai,2018,8.5
Lakay,2014,8.5
Loreto: The Mystery of The Holy House,2010,8.4
The Rocky Mountain Fly Highway,2014,8.4
A Sicilian Dream,2015,8.4
A Life Among Whales,2005,8.4
Ghosts of the West: The End of the Bonanza Trail,2012,8.4
Gallagher: Totally New,1982,8.4
RWBY: Volume 2,2014,8.4
Omaha Beach: Honor and Sacrifice,2014,8.4
Yellow Colt,2014,8.4
Sunset Boulevard,1950,8.4
Paths of Glory,1957,8.4
3 Idiots,2009,8.4
The American Wake,2018,8.4
Peter Frampton: Live in Detroit,2013,8.4
Rangasthalam,2018,8.4
Ardaas,2016,8.4
TELL HELL I AIN'T COMIN',2005,8.4
One Little Pill,2014,8.4
Jaane Bhi Do Yaaro,1983,8.4
Local Legends,2013,8.4
Ethiopia Rising: Red Terror to Green Revolution,2015,8.4
Punjab 1984,2014,8.4
Dosti,1964,8.4
Limit is the Sky,2016,8.4
Walwal,2018,8.4
Masoom,1983,8.4
Louis Sullivan: the Struggle for American Architecture,2010,8.4
Agent Sai Srinivasa Athreya,2019,8.4
Fabulous Frogs,2014,8.4
Yoddha,1992,8.4
George Carlin: Doin' it Again,1990,8.4
Dearly Departed,2013,8.4
The Bus,2012,8.4
Euphoria,2019,8.4
33 & Beyond: The Royal Art of Freemasonry,2017,8.4
The Two Thieves,2014,8.4
Biswa Kalyan Rath : Biswa Mast Aadmi,2017,8.4
We Got Lucky,2016,8.4
A People Without A Land,2014,8.4
In Transit,2012,8.4
